Date,CollisionCount
2018-07-01,5
2018-07-02,14
2018-07-03,19
2018-07-04,16
2018-07-05,18
2018-07-06,11
2018-07-07,10
2018-07-08,8
2018-07-09,16
2018-07-10,17
2018-07-11,16
2018-07-12,11
2018-07-13,20
2018-07-14,8
2018-07-15,6
2018-07-16,13
2018-07-17,12
2018-07-18,11
2018-07-19,9
2018-07-20,4
2018-07-21,10
2018-07-22,9
2018-07-23,11
2018-07-24,12
2018-07-25,11
2018-07-26,8
2018-07-27,10
2018-07-28,12
2018-07-30,6
2018-07-31,9
2018-08-01,4
2018-08-02,8
2018-08-03,7
2018-08-04,14
2018-08-05,10
2018-08-06,13
2018-08-07,17
2018-08-08,13
2018-08-09,8
2018-08-10,9
2018-08-11,4
2018-08-12,2
2018-08-13,15
2018-08-14,5
2018-08-15,11
2018-08-16,7
2018-08-17,5
2018-08-18,8
2018-08-19,3
2018-08-20,6
2018-08-21,9
2018-08-22,10
2018-08-23,8
2018-08-24,9
2018-08-25,6
2018-08-26,3
2018-08-27,4
2018-08-28,7
2018-08-29,10
2018-08-30,13
2018-08-31,7
2018-09-01,4
2018-09-02,7
2018-09-03,9
2018-09-04,11
2018-09-05,5
2018-09-06,9
2018-09-07,18
2018-09-08,1
2018-09-09,3
2018-09-10,11
2018-09-11,11
2018-09-12,14
2018-09-13,10
2018-09-14,7
2018-09-15,6
2018-09-16,2
2018-09-17,16
2018-09-18,11
2018-09-19,14
2018-09-20,11
2018-09-21,8
2018-09-22,7
2018-09-23,3
2018-09-24,12
2018-09-25,10
2018-09-26,11
2018-09-27,15
2018-09-28,7
2018-09-29,13
2018-09-30,5
2018-10-01,11
2018-10-02,7
2018-10-03,15
2018-10-04,11
2018-10-05,14
2018-10-06,7
2018-10-07,9
2018-10-08,7
2018-10-09,17
2018-10-10,17
2018-10-11,13
2018-10-12,16
2018-10-13,8
2018-10-14,5
2018-10-15,6
2018-10-16,12
2018-10-17,15
2018-10-18,9
2018-10-19,13
2018-10-20,10
2018-10-21,11
2018-10-22,13
2018-10-23,9
2018-10-24,12
2018-10-25,8
2018-10-26,9
2018-10-27,5
2018-10-28,1
2018-10-29,6
2018-10-30,9
2018-10-31,12
2018-11-01,10
2018-11-02,13
2018-11-03,3
2018-11-04,5
2018-11-05,8
2018-11-06,12
2018-11-07,7
2018-11-08,12
2018-11-09,6
2018-11-10,7
2018-11-11,5
2018-11-12,7
2018-11-13,20
2018-11-14,13
2018-11-15,5
2018-11-16,6
2018-11-17,3
2018-11-18,9
2018-11-19,17
2018-11-20,16
2018-11-21,9
2018-11-22,9
2018-11-23,9
2018-11-24,5
2018-11-25,5
2018-11-26,10
2018-11-27,6
2018-11-28,9
2018-11-29,14
2018-11-30,9
2018-12-01,6
2018-12-02,3
2018-12-03,10
2018-12-04,13
2018-12-05,18
2018-12-06,12
2018-12-07,9
2018-12-08,3
2018-12-09,2
2018-12-10,8
2018-12-11,5
2018-12-12,8
2018-12-13,9
2018-12-14,8
2018-12-15,3
2018-12-16,2
2018-12-17,10
2018-12-18,4
2018-12-19,3
2018-12-20,9
2018-12-21,1
2018-12-22,4
2018-12-23,1
2018-12-24,3
2018-12-26,1
2018-12-27,1
2018-12-28,3
2018-12-29,2
2018-12-30,2
2018-12-31,4
